WikiID,Type
Q1000021,Monument
Q1000480,Monument
Q1002392,Monument
Q1005877,Monument
Q1009561,Monument
Q1013495,Monument
Q1016872,Monument
Q1017029,Monument
Q1017030,Monument
Q1017686,Monument
Q1019088,Monument
Q1019093,Monument
Q1021738,Monument
Q1023692,Monument
Q1024829,Monument
Q1024943,Monument
Q10261697,Monument
Q10261698,Monument
Q10261703,Monument
Q10274222,Monument
Q10276291,Monument
Q10277571,Monument
Q10283300,Monument
Q10283618,Monument
Q10283886,Monument
Q10283898,Monument
Q1028573,Monument
Q10300408,Monument
Q10300590,Monument
Q10302092,Monument
Q1031801,Monument
Q10325357,Monument
Q10325361,Monument
Q10325364,Monument
Q10325452,Monument
Q10327703,Monument
Q10328525,Monument
Q10328529,Monument
Q10328531,Monument
Q10328549,Monument
Q10328793,Monument
Q10328795,Monument
Q10328800,Monument
Q10332121,Monument
Q10332140,Monument
Q10332143,Monument
Q10332144,Monument
Q10332145,Monument
Q10332148,Monument
Q10332149,Monument
Q10332150,Monument
Q10332152,Monument
Q10332153,Monument
Q10332156,Monument
Q10332158,Monument
Q10332160,Monument
Q10332161,Monument
Q10332164,Monument
Q10332168,Monument
Q10332172,Monument
Q10332173,Monument
Q10332174,Monument
Q10332630,Monument
Q10338960,Monument
Q10339538,Monument
Q10339935,Monument
Q10340001,Monument
Q10340003,Monument
Q10340005,Monument
Q10343598,Monument
Q10344243,Monument
Q10347232,Monument
Q10348074,Monument
Q10351779,Monument
Q10355742,Monument
Q1036558,Monument
Q10368314,Monument
Q10372510,Monument
Q10376519,Monument
Q10383730,Monument
Q10383734,Monument
Q10383747,Monument
Q10383785,Monument
Q10412959,Monument
Q1042740,Monument
Q1046405,Monument
Q1046529,Monument
Q1048676,Monument
Q1048678,Monument
Q1048682,Monument
Q10489101,Monument
Q1049114,Monument
Q1049134,Monument
Q1049138,Monument
Q1049150,Monument
Q1049154,Monument
Q1049162,Monument
Q1049184,Monument
Q1049191,Monument
Q1049197,Monument
Q1049198,Monument
Q1049240,Monument
Q1049248,Monument
Q1049270,Monument
Q1049272,Monument
Q1049274,Monument
Q1049275,Monument
Q10499136,Monument
Q10510771,Monument
Q10522677,Monument
Q1056441,Monument
Q1058720,Monument
Q1064212,Monument
Q1064990,Monument
Q1067824,Monument
Q1075516,Monument
Q1077945,Monument
Q1088334,Monument
Q1090521,Monument
Q1090800,Monument
Q1094083,Monument
Q1095017,Monument
Q109968,Monument
Q1100798,Monument
Q1102519,Monument
Q1105932,Monument
Q1108182,Monument
Q1108239,Monument
Q1108673,Monument
Q1110465,Monument
Q1111991,Monument
Q1113123,Monument
