WikiID,Entity,Type
Q1000480,Väter der Einheit,Monument
Q1002392,Bugenhagenbrunnen,Monument
Q1005877,Bundesdenkmal des Bundes Deutscher Radfahrer,Monument
Q1009561,Bunker Hill Monument,Monument
Q1013495,Peñafiel Castle,Monument
Q1017029,Burschenschaftsdenkmal,Monument
Q1017030,Burschenschaftsdenkmal Jena,Monument
Q1019093,Bear Monument,Monument
Q1021738,Büsch-Denkmal,Monument
Q1023692,CIA Memorial Wall,Monument
Q1024829,Buenos Aires Cabildo,Monument
Q1024943,Iglesia de la Concepción,Monument
Q10261698,Cristo Luz,Monument
Q10283886,Fortress of San Lourenzo,Monument
Q10283898,Castillo de Santa Cruz,Monument
Q1028573,Torre de Calella de Palafrugell,Monument
Q10300408,Group of Houses of the Santa Casa de Misericórdia,Monument
Q10300590,"Iglesia de San Esteban (Cuéllar, Spain)",Monument
Q1031801,Camí de Cavalls,Monument
Q10325357,Marco Zero,Monument
Q10325361,Marco do Jauru,Monument
Q10325364,Number zero survey marker of the city of São Paulo,Monument
Q10328529,Memorial Câmara Cascudo,Monument
Q10328531,Sanctuary of Frei Damiao,Monument
Q10328549,Memorial da Cabanagem,Monument
Q10332121,Monument Abertura dos Portos,Monument
Q10332140,Monumento Rodoviário da Rodovia Presidente Dutra,Monument
Q10332143,Monumento a Camões,Monument
Q10332144,Monument to Duque de Caxias,Monument
Q10332145,Monument for Eduardo Rosales,Monument
Q10332148,Monument to Ramos de Azevedo,Monument
Q10332149,Monumento ao Expedicionário,Monument
Q10332158,Heróis Da Travessia Do Atlântico,Monument
Q10332160,Monumento aos Heróis da Guerra Peninsular (Porto),Monument
Q10332161,Monumento aos Heróis de Laguna e Dourados,Monument
Q10332164,Monumento aos Mortos da Primeira Guerra Mundial (Maputo),Monument
Q10332172,Monumento à Paz Mundial,Monument
Q10332630,Mosteiro de Santa María de Montederramo,Monument
Q10340005,Piques Obelisk,Monument
Q10343598,United Nations Building Panel,Monument
Q10348074,Pelourinho de Bemposta,Monument
Q10355742,Pórtico dos Reis Magos,Monument
Q1036558,Carl-Maria-von-Weber-Hain,Monument
Q10376519,Sítio Trindade,Monument
Q10383730,Tower of A Forxa,Monument
Q10383734,Tower of A Penela,Monument
Q10383747,Sande tower,Monument
Q10383785,Torres de Mens,Monument
Q10412959,Ansgar monument (Björkö),Monument
Q1042740,Castillo de San Andrés,Monument
Q1046405,Casa Calvet,Monument
Q1046529,Casa de Pilatos,Monument
Q1048676,Capdepera Castle,Monument
Q1048678,Peralada Castle,Monument
Q1048682,Castell de la Trinitat,Monument
Q1049114,Castillo de Alarcón,Monument
Q1049134,Castillo Gahete,Monument
Q1049138,Castle of Almansa,Monument
Q1049150,Castle of Castellar de la Frontera,Monument
Q1049154,"Castle of Carlos V, Hondarribia",Monument
Q1049162,Castle of Chinchilla,Monument
Q1049184,Castell de Forna,Monument
Q1049191,Castle of Jimena de la Frontera,Monument
Q1049197,Castillo de Gibralfaro,Monument
Q1049198,Castillo de La Calahorra,Monument
Q1049240,Molina de Aragón castle,Monument
Q1049248,Santa Bárbara Castle,Monument
Q1049272,Castillo La Iruela,Monument
Q1049274,Castillo de la Luz,Monument
Q1049275,Castillo de Valencia de Don Juan,Monument
Q10510771,Gumti Water Fountain,Monument
Q10522677,Herrería de Compludo,Monument
Q1056441,China Millennium Monument,Monument
Q1058720,Buzludzha monument,Monument
Q1064212,Palacio de la Condesa de Lebrija,Monument
Q1064990,Monument aux Girondins,Monument
Q1067824,Chartered Company Monument,Monument
Q1075516,Cho Huan Lai Memorial,Monument
Q1088334,Chronos und die Trauernde,Monument
Q1090521,Kriegsgräberstätte bei Treuchtlingen,Monument
Q1090800,Monument to the Peaceful Liberation of Tibet,Monument
Q1094083,Brunswick Monument,Monument
Q1095017,Royal Chancellery of Granada,Monument
Q109968,Columbus Circle,Monument
Q1100798,monument to Yuri Gagarin,Monument
Q1102519,Gëlle Fra,Monument
Q1105932,Puerta del Puente,Monument
Q1108182,Iglesia de San Lorenzo Mártir,Monument
Q1108239,San Miguel,Monument
Q1108673,"Independence Monument, Phnom Penh",Monument
Q1111991,San Jacinto Monument,Monument
Q1116389,Memorial to the Victims of Communism,Monument
Q1116546,Palau Reial Major,Monument
Q1116843,Monument de Lorraine,Monument
Q1120467,Scharnhorstdenkmal Wennigsen,Monument
Q1121083,Soldiers and Sailors Monument,Monument
Q112738,Castle of Xabier,Monument
Q1128365,Consuegra Dam,Monument
Q1130947,Church of San Salvador de Priesca,Monument
Q1131940,Church of Santa María (Lebeña),Monument
Q1133712,Padrão dos Descobrimentos,Monument
Q1134365,Spire of Dublin,Monument
Q1135742,Basilica of San Prudencio de Armentia,Monument
Q1138811,Cranach Monument,Monument
Q1139113,Sanctuary of Nuestra Señora de Estíbaliz,Monument
Q1140634,Puerta de Alcalá,Monument
Q1143218,Dolmen of Menga,Monument
Q1143650,Cumberland-Denkmal Norderney,Monument
Q1143790,Republic Monument,Monument
Q1144137,Kirkuk Citadel,Monument
Q1144812,Peter I Monument in Taganrog,Monument
Q114718,Children's Peace Monument,Monument
Q1147672,König-Konrad-Denkmal,Monument
Q1148574,Munigua,Monument
Q1155344,Polanco Lift,Monument
Q1161218,Fallen Astronaut,Monument
Q1164358,Longoria Palace,Monument
Q1164948,Monument to Dante in Trento,Monument
Q1166944,Santa Maria de Ovila,Monument
Q1171016,Straße der Erinnerung,Monument
Q1177277,Millennium Monument,Monument
Q11783,Monument to Pedro IV (Porto),Monument
Q1186076,Democracy Monument,Monument
Q1187879,Denk-Mal Güterwagen,Monument
Q1187970,John III Sobieski Monument in Warsaw,Monument
Q1187979,Memorial of the Gray Buses,Monument
Q1187980,Monument to the Heroes of the Air,Monument
Q1187983,Friedrich Wilhelm I of Brandenburg memorial,Monument
Q1187994,Monument to the Unknown Hero,Monument
Q1187996,Denkmal für Freisinger Gelehrte,Monument
Q1188002,Denkmal für Herzog Ludwig den Reichen,Monument
Q1188008,Denkmal für Otto von Freising,Monument
Q1188021,Denkmal für Veit Demmler,Monument
Q1188025,Denkmal für die Flut von 1771,Monument
Q1188037,Memorial to the victims of the Nazi tyrann,Monument
Q1188042,Munich massacre memorial in Munich,Monument
Q1188043,"Denkmal Prinzessin Stephanie von Hohenzollern, Hofgarten Düsseldorf",Monument
Q1188049,victims of Communism Memorial,Monument
Q1188052,Denkmal für die Wiesn-Attentat-Opfer,Monument
Q1188065,Denkmal der Arbeiterklasse in Eisenach,Monument
Q1189742,Church of San Cebrián de Mazote,Monument
Q1191632,Deportationsmahnmal Putlitzbrücke,Monument
Q1191637,Mahnmal Schlachthoframpe,Monument
Q1197240,The Sower,Monument
Q1200600,Denkmal für den unbekannten Wehrmachtsdeserteur,Monument
Q1200604,"Sculpture of the Unknown Deserter, Potsdam",Monument
Q1200605,Deserteurdenkmal,Monument
Q1200606,Denkmal für Deserteure und Opfer der NS-Militärjustiz,Monument
Q1206383,Deutschmeister-Denkmal,Monument
Q1212213,Saint Mary the Protector monument in Cluj-Napoca,Monument
Q1212248,statue of Maria Theresa in Bratislava,Monument
Q1215645,Die Rampe,Monument
Q121933,Castle of Trujillo,Monument
Q1227084,Fontana dei Dioscuri,Monument
